Class Name,CBO,DIT,LCOM,NOC,RFC,WMC
com.sk89q.bukkit.util.ClassSourceValidator,1,1,1,0,35,17
com.sk89q.bukkit.util.CommandInfo,3,1,5,0,8,8
com.sk89q.bukkit.util.CommandInspector,N/A,N/A,N/A,N/A,N/A,N/A
com.sk89q.bukkit.util.CommandRegistration,8,1,1,1,44,23
com.sk89q.bukkit.util.CommandsManagerRegistration,5,2,1,0,25,13
com.sk89q.bukkit.util.DynamicPluginCommand,8,2,2,0,22,22
com.sk89q.bukkit.util.DynamicPluginCommandHelpTopic,7,2,2,0,28,28
com.sk89q.bukkit.util.DynamicPluginCommandHelpTopic.Factory,0,3,4,1,0,
com.sk89q.bukkit.util.FallbackRegistrationListener,1,1,1,0,7,3
com.sk89q.jnbt.ByteArrayTag,4,2,1,N/A,6,3
com.sk89q.jnbt.ByteTag,4,2,1,N/A,6,3
com.sk89q.jnbt.CompoundTag,27,2,2,N/A,64,37
com.sk89q.jnbt.CompoundTagBuilder,2,1,2,0,38,18
com.sk89q.jnbt.DoubleTag,4,2,1,N/A,6,3
com.sk89q.jnbt.EndTag,4,2,1,N/A,5,2
com.sk89q.jnbt.FloatTag,4,2,1,N/A,6,3
com.sk89q.jnbt.IntArrayTag,4,2,1,N/A,7,3
com.sk89q.jnbt.IntTag,5,2,1,N/A,6,3
com.sk89q.jnbt.LinBusConverter,17,1,3,0,20,4
com.sk89q.jnbt.ListTag,9,2,1,N/A,50,30
com.sk89q.jnbt.ListTagBuilder,4,1,2,0,18,10
com.sk89q.jnbt.LongArrayTag,4,2,1,0,7,3
com.sk89q.jnbt.LongTag,4,2,1,N/A,6,3
com.sk89q.jnbt.NBTConstants,15,1,1,N/A,3,2
com.sk89q.jnbt.NBTInputStream,6,1,1,N/A,10,3
com.sk89q.jnbt.NBTOutputStream,3,1,1,N/A,8,3
com.sk89q.jnbt.NBTUtils,19,1,5,N/A,18,34
com.sk89q.jnbt.NamedTag,5,1,2,0,4,3
com.sk89q.jnbt.ShortTag,5,2,1,N/A,6,3
com.sk89q.jnbt.StringTag,7,2,1,N/A,7,3
com.sk89q.jnbt.Tag,34,1,1,13,6,4
com.sk89q.minecraft.util.commands.Command,N/A,N/A,N/A,N/A,N/A,N/A
com.sk89q.minecraft.util.commands.CommandAlias,N/A,N/A,N/A,N/A,N/A,N/A
com.sk89q.minecraft.util.commands.CommandContext,5,1,7,0,69,72
com.sk89q.minecraft.util.commands.CommandException,8,3,1,4,23,11
com.sk89q.minecraft.util.commands.CommandLocals,1,1,1,0,10,5
com.sk89q.minecraft.util.commands.CommandPermissions,N/A,N/A,N/A,N/A,N/A,N/A
com.sk89q.minecraft.util.commands.CommandPermissionsException,2,4,0,0,0,0
com.sk89q.minecraft.util.commands.CommandUsageException,3,4,1,1,3,2
com.sk89q.minecraft.util.commands.CommandsManager,18,1,1,0,75,70
com.sk89q.minecraft.util.commands.Console,N/A,N/A,N/A,N/A,N/A,N/A
com.sk89q.minecraft.util.commands.Injector,N/A,N/A,N/A,N/A,N/A,N/A
com.sk89q.minecraft.util.commands.MissingNestedCommandException,2,5,0,0,2,1
com.sk89q.minecraft.util.commands.NestedCommand,N/A,N/A,N/A,N/A,N/A,N/A
com.sk89q.minecraft.util.commands.SimpleInjector,3,1,1,0,8,4
com.sk89q.minecraft.util.commands.SuggestionContext,1,1,4,0,9,13
com.sk89q.minecraft.util.commands.UnhandledCommandException,2,4,0,0,0,0
com.sk89q.minecraft.util.commands.WrappedCommandException,2,4,0,0,2,1
com.sk89q.util.ReflectionUtil,1,1,1,N/A,7,5
com.sk89q.util.StringUtil,12,1,6,N/A,45,64
